id,name,price,original_price,rating_average,review_count,author,quantity_sold,inventory_status,category_id,category_name,Công ty phát hành,Loại bìa,Số trang,Ngày xuất bản,Năm xuất bản,Năm xuất bản điền bổ sung, 
212480555,Bút nước M&G AGP30173 nét 0.5mm (Bút gel M&G Q7),5000,5000,5,1,Không rõ,79,available,67346,Bút nước,Không rõ,,0,,,,
195801673,Khoa Học Khám Phá - Vũ Trụ Trong Vỏ Hạt Dẻ (Tái Bản 2022),83600,108000,5,89,Stephen Hawking,798,available,9733,Kiến Thức Bách Khoa,NXB Trẻ,Bìa mềm,254,08/08/22 0:00,,2022,
194104219,Bến Không Chồng,221000,275000,5,19,Dương Hướng,158,available,68000,Truyện ngắn - Tản văn - Tạp Văn Việt Nam,NXB Trẻ,Bìa mềm,296,08/08/22 0:00,,2022,
193896504,Chứng khoán - Hãy đầu tư như một nhà nông,182000,239000,5,17,Park Young Ok,149,available,67910,Đầu tư,Thái Hà,,228,07/01/22 0:00,,2022,
179063980,Tại Sao Đàn Ông Thích Tình Dục Và Phụ Nữ Cần Tình Yêu (Tái Bản 2022),189000,248000,4.8,40,Allan,474,available,6994,Sách Hôn Nhân - Giới Tính,Nhân Trí Việt,Bìa mềm,316,01/01/22 0:00,,2022,
179063553,Hạ Đỏ,73700,95000,5,42,Nguyễn Nhật Ánh,431,available,6750,Truyện dài,NXB Trẻ,Bìa mềm,184,01/01/22 0:00,,2022,
176550203,Cuộc Đời Ngắn Lắm Đừng Ôm Muộn Phiền,60000,88000,5,132,Mộc Nhi,1100,available,68000,Truyện ngắn - Tản văn - Tạp Văn Việt Nam,Người Trẻ Việt,Bìa mềm,240,01/01/22 0:00,,2022,
161383826,Đảo Mộng Mơ (Tái Bản),57100,75000,4.8,83,Nguyễn Nhật Ánh,1204,available,1754,Văn học thiếu nhi,Công Ty Cổ Phần Văn Hóa Đông A,Bìa mềm,256,02/01/22 0:00,,2022,
146224840,Không Gia Đình,128000,160000,4.5,4,Hector Malot,52,available,67994,Tác Phẩm Kinh Điển Nước Ngoài,Huy Hoàng Bookstore,,0,,,,
120509490,Thương Nhớ Mười Hai (Việt Nam Danh Tác) (Tái Bản),89100,99000,5,8,Vũ Bằng,51,available,68000,Truyện ngắn - Tản văn - Tạp Văn Việt Nam,Nhã Nam,Bìa mềm,344,08/15/21 0:00,,2021,
106863962,Sách Bên Rặng Tuyết Sơn - Nguyên Phong (Tái Bản),97900,118000,5,12,Nguyên Phong,104,available,67980,Tôn Giáo - Tâm Linh Khác,First News - Trí Việt,Bìa mềm,216,06/12/21 0:00,,2021,
94347317,"Câu Chuyện Cơ Thể Con Người: Tiến Hóa, Sức Khỏe Và Bệnh Tật",185200,195000,4.6,9,Daniel E. Lieberman,66,available,316,Sách tiếng Việt,NXB Trẻ,Bìa mềm,540,05/01/21 0:00,,2021,
94173462,Muôn Kiếp Nhân Sinh 2,201000,268000,5,754,Nguyên Phong,3654,available,8322,Nhà Sách Tiki,First News - Trí Việt,Bìa mềm,540,04/01/21 0:00,,2021,
91544546,Dịch Học Tinh Hoa (Tái Bản 2021),95700,110000,5,3,Thu Giang Nguyễn Duy Cần,27,available,8322,Nhà Sách Tiki,NXB Trẻ,,0,,,,
55079531,Hướng Dẫn Bài Bản Tối Ưu Hóa Website Cho Doanh Nghiệp Xây Dựng 1 Trang Web Có Hiệu Suất Cao,159000,210000,4.5,29,Jon Rognerud,228,available,2,Root,BIZBOOKS,Bìa mềm,480,05/05/20 0:00,,2020,
54120846,Hannibal Trỗi Dậy,124200,138000,4.8,37,Thomas Harris,156,available,6750,Truyện dài,Nhã Nam,Bìa mềm,368,05/01/20 0:00,,2020,
14053722,Tam Thể - Khu Rừng Đen Tối,180000,225000,5,16,Lưu Từ Hân,109,available,316,Sách tiếng Việt,Nhã Nam,Bìa mềm,606,04/01/19 0:00,,2019,
5067169,Luật Hấp Dẫn (Tái Bản),80100,89000,5,25,Jerry Hicks,222,available,871,Sách tư duy - Kỹ năng sống,Nhã Nam,Bìa mềm,291,09/09/18 0:00,,2018,
3732979,Phẩm Cách Cha Mẹ,65600,89000,5,27,Mariko Bando,986,available,316,Sách tiếng Việt,NXB Phụ Nữ Việt Nam,Bìa mềm,287,08/14/18 0:00,,2018,
426595,Người Mẹ Tốt Hơn Là Người Thầy Tốt (Tái Bản 2015),127200,159000,5,13,Doãn Kiến Lợi,168,available,3320,Cẩm nang làm cha mẹ,Quảng Văn,Bìa mềm,583,03/05/15 0:00,,2015,
277607677,Tổng hành dinh trong mùa xuân toàn thắng - Hồi ức,110000,110000,0,0,Đại Tướng Võ Nguyên Giáp,3,available,9724,Lịch Sử Việt Nam,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Bìa mềm,0,,,,
277601116,"Sách Hướng dẫn tự học pha chế Trà sữa & Cà phê ""mới nhất + chi phí thấp"" từ Không chuyên đến Chuyên",139000,189000,0,0,Không rõ,3,available,865,Sách Nấu ăn,Megabook,,0,,,,
277555140,"""Thuật lãnh đạo """"cây gậy - củ cà rốt"""" Dùng thế nào để Sếp nhàn, nhân sự tự giác làm việc?""",139000,139000,0,0,Không rõ,8,available,849,"Sách quản trị, lãnh đạo",CÔNG TY TNHH WE UP,,0,,,,
277496312,(Bìa cứng) HY VỌNG - Đức Giáo Hoàng Phanxicô – Đình Chẩn dịch – sách Nhân Dân,239000,239000,0,0,Không rõ,10,available,67978,Công Giáo,Công ty Cổ phần sách Nhân dân,Bìa mềm,0,,,,
277361435,Điềm Tĩnh Và Nóng Giận - Tái Bản 2024,65400,109000,5,1,Tạ Quốc Kế,23,available,871,Sách tư duy - Kỹ năng sống,Bookland,Bìa mềm,224,05/01/25 0:00,,2025,
277356345,Sách - Ôn Thi Vào Lớp 10 Môn Tiếng Anh Năm Học 2025 - 2026 Theo Chương Trình Giáo Dục Phổ Thông 2018,50000,50000,0,0,Không rõ,13,available,2250,Sách tham khảo cấp III,Nhà Sách Hồng Ân,,0,,,,
277312580,Sự Hấp Dẫn Của Tâm Lý Học,112000,149000,0,0,Hữu Thư,19,available,67946,Sách tâm lý học - khác,Bookland,Bìa mềm,344,05/01/25 0:00,,2025,
277270058,50 Đề Thực Chiến Luyện Thi Tiếng Anh Vào Lớp 10 (Có đáp án),99300,139000,0,0,Bùi Văn Vinh,14,available,2249,Sách tham khảo cấp II,Nhà sách Minh Thắng,Bìa mềm,264,12/26/24 0:00,,2024,
277017960,Bluelock Tập 26 (Bản Đặc Biệt) [Tặng Kèm Bộ Quà Đặc Biệt Kèm Chữ Kí Nhân Vật],99000,100000,0,0,Nhiều tác giả,41,available,1084,"Truyện Tranh, Manga, Comic",Nhà Xuất Bản Kim Đồng,Bìa mềm,192,03/01/25 0:00,,2025,
276985552,Sách - Ôn thi vào lớp 10 môn Toán #huongbook,89000,89000,0,0,nhieu tac gia,18,available,2250,Sách tham khảo cấp III,Nhà Sách Hồng Ân,,0,,,,
276841167,Những Phương Thức Phục Hồi Sức Khỏe Theo Tự Nhiên,103000,139000,5,73,Nishi Katsuzo,918,available,316,Sách tiếng Việt,Thái Hà,Bìa mềm,273,05/01/21 0:00,,2021,
276672420,Dấu Ấn Hoàng Gia - Tập 12,29100,30000,0,0,Chieko Hosokawa,53,available,316,Sách tiếng Việt,Nhà Xuất Bản Kim Đồng,Bìa mềm,0,12/21/23 14:00,,2023,
275967015,"Đối Thoại Với Thượng Đế (Quyển 2) – Sống Với Lòng Yêu Thương, Trung Thực Và Can Đảm",146000,180000,4.8,5,Neale Donald Walsch,91,available,67980,Tôn Giáo - Tâm Linh Khác,Skybooks,Bìa mềm,368,,,,
275948804,Quản Trị Sự Thay Đổi,133250,205000,5,2,Curtis Bateman,39,available,67937,Kỹ Năng Khác,Viện Quản lý PACE,Bìa mềm,288,,,,
275833055,Sách - Combo 4 Cuốn Cổ Học Kỳ Thư - Trí tuệ người xưa - Sách chính hãng Sbooks,350000,690000,3.7,3,Không rõ,96,available,9120,Triết Học,SBOOKS,Bìa mềm,1323,07/13/22 0:03,,2022,
275592363,Giải Thích Ngữ Pháp Tiếng Anh (Tái Bản 2024),169400,220000,5,4,Mai Lan Hương,37,available,2,Root,Zenbooks,Bìa mềm,0,12/21/23 14:00,,2023,
275089565,Sách Mỗi lá thư một cuộc đời _ Chuyên gia tâm lý Đinh Đoàn,199000,199000,1,1,Không rõ,35,available,6994,Sách Hôn Nhân - Giới Tính,Công ty TNHH Winsmart Holdings,,0,,,,
272359255,"Băng keo dạ quang phát sáng dài 5 mét, miếng dán phản quang dán cầu thang, trang trí, ổ điện, xe đạp, xe oto Legaxi",115000,115000,4.3,3,Không rõ,22,available,68248,Băng keo khác,Không rõ,,0,,,,
263389188,Sao trước đây không ai nói với tôi điều này? - Bộ công cụ để đối mặt với cuộc sống,130000,170000,5,19,Julie Smith,398,available,8322,Nhà Sách Tiki,NXB Trẻ,Bìa mềm,364,06/26/23 0:00,,2023,
253400480,Tiếng Gọi - Tuyển Tập Truyện Cực Ngắn,17500,35000,0,0,Không rõ,27,available,68000,Truyện ngắn - Tản văn - Tạp Văn Việt Nam,Phuc Minh Books,,0,,,,
243018715,Combo 5 Ream giấy A4 80 gsm IK Copy (500 tờ) - Hàng nhập khẩu Indonesia Hàng nguyên thùng chất lượng cao,375000,600000,4.8,29,Không rõ,305,available,1908,Giấy in - Fax - Photo,Không rõ,,0,,,,
200780102,Sếp xịn - Trở thành vị sếp khó tính thân tình,129350,199000,5,16,Kim Scott,293,available,849,"Sách quản trị, lãnh đạo",Nhã Nam,Bìa mềm,366,10/01/22 0:00,,2022,
196831940,Thấu Hiểu Con Người,120250,185000,5,22,Nate Regier,289,available,871,Sách tư duy - Kỹ năng sống,Viện Quản lý PACE,Bìa mềm,276,05/05/22 0:00,,2022,
194960733,Tiếp thị 4.0 - Dịch chuyển từ truyền thống sang công nghệ số,92100,115000,5,24,Philip Kotler,487,available,67901,Sách kinh tế học - khác,NXB Trẻ,Bìa mềm,264,08/22/22 0:00,,2022,
193670893,Đường Mây Trên Đất Hoa (Tái Bản),91000,126000,5,11,Nhiều tác giả,81,available,67979,Phật giáo,First News - Trí Việt,Bìa mềm,320,08/08/22 0:00,,2022,
161633750,Bí Ẩn Nữ Tính,143000,199000,5,27,Betty Friedan,255,available,67894,Triết học khác,NXB Phụ Nữ Việt Nam,Bìa mềm,623,02/01/22 0:00,,2022,
160095198,HƯỚNG DẪN THI HÀNH LUẬT XỬ LÝ VI PHẠM HÀNH CHÍNH & CÁC QUY ĐỊNH XỬ PHẠT VI PHẠM HÀNH CHÍNH MỚI NHẤT,245000,245000,5,8,Không rõ,58,available,8322,Nhà Sách Tiki,Pháp Luật Sài Gòn Hà Nội,Bìa mềm,392,01/14/22 15:01,,2022,
134580101,Kết Cấu Thép Cấu Kiện Cơ Bản (Tái bản 2024),168000,168000,4.5,8,Không rõ,67,available,67885,Kỹ Thuật khác,Trung Tâm Phát Hành Sách Và Văn Hóa Phẩm Khoa Học Và Kỹ Thuật,Bìa mềm,0,,,,
129766803,Sách Khác Biệt Hay Là Chết (Tái Bản),91300,128000,5,102,Jack Trout,963,available,316,Sách tiếng Việt,First News - Trí Việt,Bìa mềm,344,10/01/21 0:00,,2021,
100931418,Giao Tiếp Bất Kỳ Ai - 101 Cách Nâng Cao Khả Năng Giao Tiếp (Tái Bản),48400,55000,4.8,24,Jo Condrill,165,available,871,Sách tư duy - Kỹ năng sống,Thái Hà,Bìa mềm,130,05/15/21 0:00,,2021,
87443841,Đi Tìm Thần Dược Bên Trong Cơ Thể,93000,93000,0,0,Ngô Thanh Trung,3,available,886,Lĩnh vực khác,Quảng Văn,Bìa mềm,208,04/01/21 0:00,,2021,
86270918,Tinh Hoa Đạo Học Đông Phương (Thu Giang Nguyễn Duy Cần ) (Tái Bản),52200,55000,4.7,19,Thu Giang Nguyễn Duy Cần,163,available,316,Sách tiếng Việt,NXB Trẻ,Bìa mềm,120,03/01/21 0:00,,2021,
73316970,Osho - Ươm Mầm,95900,109000,5,21,Osho,111,available,316,Sách tiếng Việt,Thái Hà,Bìa mềm,324,11/15/20 0:00,,2020,
68423753,Ăn Gì Cho Không Độc Hại - Tạp Bút (Tái Bản Lần 6-2020),87000,100000,4.8,21,Pha Lê,71,available,8322,Nhà Sách Tiki,NXB Trẻ,Bìa mềm,320,09/15/20 0:00,,2020,
67491398,Sách OSHO Từ Bi - Compassion,104900,128000,5,29,Osho,192,available,67895,Triết Học phương Đông,First News - Trí Việt,Bìa gập,228,09/15/20 0:00,,2020,
41299102,Những Nguyên Lý Quản Trị Bất Biến Mọi Thời Đại (Tái Bản 2019),114500,138000,4.6,22,Peter F. Drucker,203,available,2,Root,First News - Trí Việt,Bìa mềm,344,11/01/19 0:00,,2019,
16422526,365 Chuyện Kể Trước Giờ Đi Ngủ - Những Câu Chuyện Phát Triển Chỉ Số Tình Cảm EQ (Tái Bản),62400,78000,4.8,30,Ngọc Linh,167,available,854,Truyện kể cho bé,Đinh Tị,Bìa mềm,0,05/01/19 0:00,,2019,
11368983,Combo Giáo Trình Chuẩn HSK 2 - Bài Học (Kèm 1 MP3) và Giáo Trình HSK 2 - Sách Bài Tập (Kèm MP3) ( Tặng Kèm Viết ),335820,386000,5,360,Khương Lệ Bình,2024,available,8322,Nhà Sách Tiki,Nhân Trí Việt,Bìa mềm,312,03/08/18 0:03,,2018,
6915413,"Nghệ Thuật Tối Giản: Có Ít Đi, Sống Nhiều Hơn (Tái bản)",91800,108000,4.8,5,Dominique Loreau,71,available,316,Sách tiếng Việt,Saigon Books,Bìa mềm,312,10/01/18 0:00,,2018,
3641267,Ngừng Viện Cớ,112500,125000,0,0,Brian Tracy,14,available,316,Sách tiếng Việt,TGM Books,Bìa mềm,227,,,,
277619669,"Tuyển tập đề thi Tin học trẻ Bảng A, D1. Volume 3",160000,160000,0,0,Không rõ,5,available,18372,Sách chuyên đề,Công ty TNHH Tin Học Và Nhà Trường,Bìa mềm tay gấp,280,04/08/25 20:25,,2025,
277565631,Lệ Chi Viên (Tiểu Thuyết Lịch Sử) - Tác giả Lương Hạnh,127200,127200,0,0,Lương Hạnh,0,available,67996,Tiểu Thuyết Phương Đông,Công Ty TNHH Xuất Bản Và Truyền Thông BestBooks Việt Nam,Bìa mềm tay gấp,296,04/10/25 0:00,,2025,
277483779,Sách - Khi Mọi Điều Không Như Ý - Bìa Cứng - Tặng Kèm Bookmark + Postcard - Độc Quyền Fahasa,161100,179000,5,3,Hae Min,15,available,839,Sách văn học,Nhã Nam,Bìa cứng,0,12/21/23 14:00,,2023,
277405915,Sách - Bộ Đề Ôn Thi Tuyển Sinh Lớp 10 - Môn Ngữ Văn (Theo Cấu Trúc Đề Thi Của Thành Phố Hồ Chí Minh),84700,110000,0,0,Không rõ,11,available,316,Sách tiếng Việt,Đang cập nhật,,0,,,,
277396061,Căn Phòng Riêng Của Mẹ,95300,136000,0,0,Gimgre,7,available,1084,"Truyện Tranh, Manga, Comic",Vitalis,Bìa mềm,296,05/01/25 0:00,,2025,
277014339,Bộ EQ Cao - Kỹ Năng Giải Quyết Vấn Đề Cho Trẻ - Cô Phan Hồ Điệp ,150000,150000,5,2,Phan Hồ Điệp,38,available,3271,Sách Kiến Thức - Kỹ Năng Cho Trẻ,Công ty TNHH Winsmart Holdings,,0,,,,
276951904,Trang Phục Cổ Truyền Các Dân Tộc Việt Nam (Tái bản 2025),120000,160000,5,1,GS.TS. Ngô Đức Thịnh,19,available,67988,Sách Phong Tục - Tập Quán Việt Nam,VIETNAMBOOK,Bìa mềm tay gấp,320,01/07/25 10:01,,2025,
276654187,Dây thẻ đeo bảng tên nhân viên sinh viên Demon Slayer Thiên Long,30000,30000,5,5,Không rõ,18,available,6210,Thiết Bị Giáo Dục Trường Học,Không rõ,,0,,,,
276652099,OSHO - Tự Do: Như Chim Tung Cánh,85100,118000,5,1,Ben Guttmann,51,available,67979,Phật giáo,First News - Trí Việt,Bìa mềm tay gấp,220,,,,
276452001,Sách Nuôi Dưỡng Tâm Hồn - Bộ Voi Con - 6 Tập (Lẻ tuỳ chọn),32000,32000,0,0,Viện Giáo Dục Shichida Việt Nam,5,available,854,Truyện kể cho bé,Công ty CP Thương mại Puma Books Việt Nam,Bìa mềm,20,01/02/24 15:50,,2024,
276427834,Sách Nuôi Dưỡng Tâm Hồn - Bộ Cún Con - 6 Tập (Lẻ tuỳ chọn),32000,32000,0,0,Viện Giáo Dục Shichida Việt Nam,5,available,854,Truyện kể cho bé,Công ty CP Thương mại Puma Books Việt Nam,Bìa mềm,20,01/02/24 16:44,,2024,
276079793,Sự Thật Trần Trụi Về Tiền,174800,269000,5,3,Charles Wheelan,62,available,67900,Kinh tế vĩ mô,Alphabooks,Bìa mềm tay gấp,564,09/20/24 0:00,,2024,
274571494,Sách Văn Học - Tiệm Giặt Ủi Bon Bon - Jiyun Kim (Kyon Kyeon & Nguyễn Thủy dịch),79200,99000,5,8,Kim Jiyoung,59,available,844,Tiểu Thuyết,Phuc Minh Books,Bìa mềm tay gấp,400,03/31/24 8:17,,2024,
274557494,IELTS Writing Journey: Elevate To Band 8.0,227050,239000,0,0,Bùi Thành Việt,0,available,1856,Sách Học Tiếng Anh,Zenbooks,Bìa mềm,260,01/01/24 0:00,,2024,
274544984,Những Bố Già Châu Á ( Trạm Đọc - Tái Bản 2024),159000,199000,4,1,Joe Studwell,9,available,316,Sách tiếng Việt,Alphabooks,Bìa mềm,582,,,,
274364964,"Giàu Có Hơn, Khôn Ngoan Hơn, Hạnh Phúc Hơn",175200,219000,0,0,William Green,1,available,871,Sách tư duy - Kỹ năng sống,Alphabooks,Bìa mềm tay gấp,408,02/19/24 0:00,,2024,
274058345,Giúp Bé Nhận Biết Thế Giới Xung Quanh (Song Ngữ Anh Việt) - Bản Quyền,29000,29000,0,0,Không rõ,6,available,2,Root,Công ty Cổ Phần Văn Hóa và Giáo Dục Tân Việt,,0,,,,
273520472,Đề Kiểm Tra Toán Lớp 3 - Học Kì 2 - Cánh Diều - Bản Quyền,32000,40000,0,0,Không rõ,6,available,2248,Sách tham khảo cấp I,Công ty cổ phần sách Qbooks,,0,,,,
273308813,"Ăn Kiêng Eczema (Bệnh Chàm, Viêm Da Cơ Địa)",148000,198000,5,3,Dip. Nut,63,available,68003,Sách Y Học Khác,Thái Hà,,328,10/01/23 0:00,,2023,
271495372,Các Đế Chế Ngôn Từ Lịch Sử Thế Giới Từ Góc Nhìn Ngôn Ngữ,366300,499000,5,27,Nicholas Ostler,264,available,9725,Lịch Sử Thế Giới,Alphabooks,Bìa cứng,832,08/01/23 0:00,,2023,
270702712,Hồi Ký Tiến Sĩ Lê Thẩm Dương,280000,280000,4.8,6,Lê Thẩm Dương,41,available,2,Root,Báo Sinh Viên VN - Hoa Học Trò,Bìa cứng,300,08/03/19 0:00,,2019,
270504399,Sách - First sticker book - Sách dán hình đầu đời cho bé (12 cuốn) - Đinh Tị Books,67500,75000,0,0,Không rõ,6,available,853,Kiến thức - Bách khoa,Đinh Tị,,0,,,,
252857451,Sự Trả Thù Của Địa Lý,232000,339000,4.7,13,Robert D.Kaplan,132,available,886,Lĩnh vực khác,Alphabooks,Bìa cứng,476,03/03/23 0:00,,2023,
252795775,Khám Phá Và Chữa Lành 16 Kiểu Tính Cách Qua MBTI,139500,155000,0,0,Kim So Na,0,available,871,Sách tư duy - Kỹ năng sống,BERRY BOOKS,Bìa mềm,264,,,,
